SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL
GANGETIC WEST BENGAL,1944,60,24.4,40.2,44.8,36.1,147.5,349.8,477.4,147,79.1,0.1,0,1406.4
GANGETIC WEST BENGAL,1945,18,13.6,5.1,75.7,110.2,196.2,196.3,213.2,198.6,244.2,0.1,0.3,1271.5
GANGETIC WEST BENGAL,1946,0,4.2,11.3,131.5,117.6,247.4,297.4,374.2,305.3,196.8,28.3,0.2,1714.2
GANGETIC WEST BENGAL,1947,3.4,13.1,43.3,18.4,104,172.7,348.9,292,237.4,95.9,0.5,33.5,1363
GANGETIC WEST BENGAL,1948,13.2,44.9,48.4,52.6,135.9,200.4,268.4,323.6,214.3,116.7,113.6,0,1532.1
GANGETIC WEST BENGAL,1949,6.8,3,33.5,114.7,188.9,214.5,325,285.5,209.8,110.5,1.3,0,1493.7
GANGETIC WEST BENGAL,1950,0,6.5,25.9,14.1,101.2,371.1,338.8,373.3,176.4,93.3,115.2,0,1615.6
GANGETIC WEST BENGAL,1951,0,0.4,62.1,13.1,67.4,180.7,253.5,260.3,200.1,140,36,0.4,1214
GANGETIC WEST BENGAL,1952,0.3,1.1,23.3,99.7,77,167.4,431,244.7,189.1,159.6,2.5,0,1395.7
GANGETIC WEST BENGAL,1953,25.8,14.1,4.8,13.6,61.9,311.1,358.3,343.1,278.5,56,38.6,0,1505.8
GANGETIC WEST BENGAL,1954,12.3,5.9,0.3,11.6,88.6,211.1,201.7,215.1,247.1,56.8,1.5,28,1080
GANGETIC WEST BENGAL,1955,2.9,2.3,11.4,24.3,48,174.7,338.8,251.9,188.1,151.9,73.9,0.1,1268.2
GANGETIC WEST BENGAL,1956,4.5,33.9,50.7,25.6,141.6,343.3,253.9,295.4,391.1,157.6,12.7,3.9,1714.2
GANGETIC WEST BENGAL,1957,50.2,26.6,8.7,6,16.4,231.8,312.1,201.1,239.4,38.2,0.1,0,1130.5
GANGETIC WEST BENGAL,1958,12.7,25.6,13.3,37.9,58.3,95.2,280.1,215.1,294.7,109.3,8.9,0,1151.1
GANGETIC WEST BENGAL,1959,33.5,12.7,17.3,28.2,91.4,208.5,273.3,328.5,487.3,331.2,0.3,0.4,1812.9
GANGETIC WEST BENGAL,1960,0.6,1.4,30.9,0.9,122.3,117.5,336.5,317.4,246.3,71.1,0.6,0,1245.5
GANGETIC WEST BENGAL,1961,11.1,75.8,6.8,13.6,91.2,275,171.4,252.8,290.9,101,0.8,0.1,1290.4
GANGETIC WEST BENGAL,1962,8.8,13.1,6,54.5,80.3,185.6,241.1,209.3,233.6,141,0,0.1,1173.6
GANGETIC WEST BENGAL,1963,0.4,2.4,5.7,61.6,103.6,258.8,277.6,167.1,270.9,131.5,9.5,0.5,1289.5
GANGETIC WEST BENGAL,1964,2.7,11.1,18,58.3,84.7,136.2,404.2,211.3,219.9,124,8,0,1278.5
GANGETIC WEST BENGAL,1965,0.3,33.9,46.5,32.8,45.3,227.6,289.6,287,220.3,80.1,0.3,0.2,1263.7
GANGETIC WEST BENGAL,1966,33.1,4.4,5.1,18.3,43.4,296,168.7,236.6,187.2,84.9,34.7,6.3,1118.7
GANGETIC WEST BENGAL,1967,52.5,3.3,44.9,65.3,53,131.6,247.8,368.8,326.2,52.3,1.3,1.4,1348.4
GANGETIC WEST BENGAL,1968,5.7,7.6,7.7,12.6,35.5,368.8,418.2,472.2,115.2,115.9,37.8,0.6,1597.7
GANGETIC WEST BENGAL,1969,4.7,5.1,20.9,80.2,89,139.8,276.2,418,300.9,45.9,23.2,0.2,1404
GANGETIC WEST BENGAL,1970,10.8,15.1,30.8,16.8,63.5,323.2,285,219.8,472.6,195,15.8,0,1648.5
GANGETIC WEST BENGAL,1971,30.6,14.2,4.8,174.2,122.1,260.3,472.5,573.4,252.8,163.5,31.4,0,2099.8
GANGETIC WEST BENGAL,1972,2.8,43.1,4.1,16.4,25.1,125.9,288.3,543.2,222.5,59.7,2.1,0,1333.2
GANGETIC WEST BENGAL,1973,1.3,8.9,67.6,26,134.2,204.2,304.9,335,401.6,206.6,20.9,23.9,1735.2
GANGETIC WEST BENGAL,1974,3.6,0,83.1,29.8,94.5,96.4,438.5,317.1,262.7,140.3,4.6,0,1470.7
GANGETIC WEST BENGAL,1975,9.9,18.7,10.6,38.1,65.8,156.6,364.9,331.1,286.3,141.6,42.6,0,1466.2
GANGETIC WEST BENGAL,1976,0,32.8,20.7,47.5,133.1,148.9,296.6,279.6,197.5,52.1,31.2,0.6,1240.6
GANGETIC WEST BENGAL,1977,11.7,24.2,7.3,89.9,176.4,409.4,450.9,329.4,171.3,86.6,48,35.5,1840.6
GANGETIC WEST BENGAL,1978,1.4,21.2,50.5,49.8,116.3,253,274.1,349.1,591.8,148.8,10.3,6.4,1872.5
GANGETIC WEST BENGAL,1979,16,27.3,8.4,28,22.3,282.9,296.4,229.6,167,48,11.5,20.4,1157.9
GANGETIC WEST BENGAL,1980,15.5,22.6,60.9,21.8,109.9,303.6,403.2,243.3,181,158.6,0,0.4,1521
GANGETIC WEST BENGAL,1981,13.7,63.9,64.8,110.8,250.9,321.4,417.7,327.7,250,11.6,3.8,72.8,1909
GANGETIC WEST BENGAL,1982,2.4,35.8,87.2,70.9,37.1,196,224.5,308.9,101.1,29.2,17.9,0,1111
GANGETIC WEST BENGAL,1983,9.1,39.2,47,44.2,132.5,188.9,207.6,365.4,247.4,167.6,1.1,13.6,1463.6
GANGETIC WEST BENGAL,1984,19.1,2.6,0.6,46.6,82.6,597.1,332.7,442.2,196.4,111.8,0,0,1831.7
GANGETIC WEST BENGAL,1985,10.9,22,8.8,24.1,99.6,280.4,286.3,340.6,201.8,137.2,1.8,0,1413.4
GANGETIC WEST BENGAL,1986,9.6,6.3,7.1,48.5,146.1,227.9,313.4,181.2,522.2,201.5,106.4,20.6,1791
GANGETIC WEST BENGAL,1987,1.8,7.1,18.9,76.6,91.7,146.9,427.4,473,262.6,34.1,43.7,7.7,1591.5
GANGETIC WEST BENGAL,1988,1.7,22.9,53.5,45.3,109.3,508.8,299.9,292.6,207.1,100.4,39.5,0.5,1681.5
GANGETIC WEST BENGAL,1989,0.4,4.9,6.1,5.4,173.6,318.2,414.5,291.4,284.2,105.5,3.7,18.3,1626.3
GANGETIC WEST BENGAL,1990,2.2,62.2,119,79.3,147.6,268.2,520.2,236.3,300.7,174.2,47.9,3.5,1961.3
GANGETIC WEST BENGAL,1991,27.8,11.4,41.7,34.5,66.1,257.4,381.2,331.3,249.2,125.6,15.6,67.5,1609.1
GANGETIC WEST BENGAL,1992,14,49.5,0.1,25,127,239.9,407.6,254.1,226.6,66.2,4.4,0.2,1414.6
GANGETIC WEST BENGAL,1993,0.3,3.8,40.8,78.6,116.2,328.5,280,357.7,421.4,94.2,38.2,0,1759.7
GANGETIC WEST BENGAL,1994,23.8,48.8,7.3,63.7,98,310.1,426.1,294.4,166.1,82.9,9.6,0,1530.8
GANGETIC WEST BENGAL,1995,20.2,30.1,8.7,10.1,202.9,185.4,401.1,413,411.5,86.4,160.5,6.2,1936
GANGETIC WEST BENGAL,1996,11,13.2,10.4,39.2,67.5,336,251.3,472,143.5,155.9,4.1,0,1504
GANGETIC WEST BENGAL,1997,18.7,23.6,44.2,101.8,98.2,219.6,437.3,387.3,244,27.8,30.5,24.9,1657.7
GANGETIC WEST BENGAL,1998,52.9,31,128.8,53,87.1,154.3,295.2,265.7,296.3,191.4,77.1,0,1632.7
GANGETIC WEST BENGAL,1999,0.1,0.7,1.6,10.5,217.9,268.8,405.2,375.4,467.8,195.3,13.7,0,1957
GANGETIC WEST BENGAL,2000,9.5,57.9,3.8,54,215,205.6,341.5,178.4,428.4,76.2,1.6,0.1,1572.1
GANGETIC WEST BENGAL,2001,0.3,1.9,32.8,49.4,175.8,384.2,269.3,248.7,205.9,163.6,8.8,0,1540.6
GANGETIC WEST BENGAL,2002,26.3,1.5,26.6,77.4,114.1,347.7,281.6,289.3,326.4,71.5,50.9,0.1,1613.3
GANGETIC WEST BENGAL,2003,0.5,11.7,70,36.3,81.9,280.5,253.4,239.3,155,341.5,8.9,17.7,1496.7
GANGETIC WEST BENGAL,2004,3.3,1.6,14.9,62.8,72.9,287.5,250.7,389.9,264.3,220.7,0,0.8,1569.4
GANGETIC WEST BENGAL,2005,26.8,11.8,82.8,41.8,82.4,200.1,354.5,226.7,221.3,351.7,0,4.9,1604.9
GANGETIC WEST BENGAL,2006,0.8,3,10.6,60.5,120.8,221,486.6,320.3,380.9,49.7,5.9,0.3,1660.5
GANGETIC WEST BENGAL,2007,3.9,56.2,39.3,38.7,98.7,226.3,610.1,328,459.9,55.8,24.6,0,1941.4
GANGETIC WEST BENGAL,2008,49.4,12.4,11.5,42.8,94.4,414.5,338.4,252.2,267.3,72.3,0,0.2,1555.2
GANGETIC WEST BENGAL,2009,2.4,1.4,17.9,2.6,229,69.7,277.6,332.7,294.6,77.3,9.4,0.3,1315
GANGETIC WEST BENGAL,2010,0.2,10.3,8,15.9,127.5,189.3,196.3,192.6,192.6,96.2,6.3,29.7,1064.8
GANGETIC WEST BENGAL,2011,2.5,2.7,40.5,75,132.6,434.5,219.9,443.2,295.9,36.9,1.3,1.4,1686.5
GANGETIC WEST BENGAL,2012,40.7,15.3,4.4,57.7,44.2,146.6,315,261.4,246.9,64.2,47,24.6,1268
GANGETIC WEST BENGAL,2013,2.5,10,4.8,45.6,195.9,233.4,263.2,401.4,254,353.2,0,0,1764.1
GANGETIC WEST BENGAL,2014,0.9,42.2,19.9,1.9,124.4,193.6,298.7,292.6,229.5,56.9,0.1,0.6,1261.4
GANGETIC WEST BENGAL,2015,12.9,5.5,19.3,88.7,57.6,247.2,633.1,260.6,164,32.7,2.3,6.3,1530.3
SUB HIMALAYAN WEST BENGAL & SIKKIM,1930,17.6,19.9,51.7,61.3,192.3,495.1,346.1,475.8,329.6,140.4,52,2.4,2184.5
SUB HIMALAYAN WEST BENGAL & SIKKIM,1931,2.8,9.7,28.2,98.6,296.3,523.7,793.8,408.7,585.3,112.1,12.7,4.5,2876.5
SUB HIMALAYAN WEST BENGAL & SIKKIM,1932,3,7,8.6,72.4,255.9,731.3,363.5,582.9,380.1,154.4,132.1,24.4,2715.6
SUB HIMALAYAN WEST BENGAL & SIKKIM,1933,16.5,9.4,0.5,112.4,206,565.3,653.3,512.3,284.1,149.3,3.9,1.1,2514.2
SUB HIMALAYAN WEST BENGAL & SIKKIM,1934,10.5,60.2,0.4,86.8,227.5,517.2,656.2,455.6,436.3,151.4,4,6.8,2612.9
SUB HIMALAYAN WEST BENGAL & SIKKIM,1935,9.5,28.4,16.6,24.2,248.9,609.2,365.4,935.1,521.7,18,6.3,1.8,2785.1
SUB HIMALAYAN WEST BENGAL & SIKKIM,1936,3.7,8.9,46.7,85.7,274.8,410.4,663.8,508.7,536,113.2,0.1,8.3,2660.3
SUB HIMALAYAN WEST BENGAL & SIKKIM,1937,0,68.6,2.2,63.7,270.2,317.2,477.3,654,354.8,351.6,6.7,2,2568.4
SUB HIMALAYAN WEST BENGAL & SIKKIM,1938,0.8,8.2,7.6,76.2,460.9,889.2,699.4,539,461,102.4,4.4,0.1,3249.3
SUB HIMALAYAN WEST BENGAL & SIKKIM,1939,0,19.8,5.8,6.7,268.3,626.3,605.9,460.5,444.6,146.3,6.5,0.3,2591.1
SUB HIMALAYAN WEST BENGAL & SIKKIM,1940,0.1,54.2,121.2,24.7,217.1,469.1,600.3,400.8,408.4,11.7,9.5,3.1,2320.2
SUB HIMALAYAN WEST BENGAL & SIKKIM,1941,3.8,6.3,12.7,85.4,378.8,470.1,544.9,582.1,452.8,154.5,22,4.5,2718
SUB HIMALAYAN WEST BENGAL & SIKKIM,1942,6.6,19.5,45.7,186.9,253.8,537.8,382.2,363.8,511.7,49.7,7.6,0,2365.4
SUB HIMALAYAN WEST BENGAL & SIKKIM,1943,42,38.8,30.3,185,209.6,828.9,450,555.7,532.8,39.6,4,0.9,2917.6
SUB HIMALAYAN WEST BENGAL & SIKKIM,1944,37.1,15.7,53.9,105.9,248.8,585.9,446.9,416.7,613.3,52.1,6.9,0,2583.2
SUB HIMALAYAN WEST BENGAL & SIKKIM,1945,27.8,21.3,6.9,120.3,305.4,398.3,551.3,680,406.9,235.9,0,1.3,2755.4
SUB HIMALAYAN WEST BENGAL & SIKKIM,1946,0,11.6,34.2,182.8,248.7,523.4,599.9,401.1,461.7,297,7.8,0.2,2768.5
SUB HIMALAYAN WEST BENGAL & SIKKIM,1947,1.6,0.8,93.4,76,171.1,377.7,688.1,439.2,542,141.9,1.9,0.5,2534.1
SUB HIMALAYAN WEST BENGAL & SIKKIM,1948,0.5,15.5,21.5,178.3,357.5,556.3,798,415.5,349.2,185.8,57.1,1.3,2936.6
SUB HIMALAYAN WEST BENGAL & SIKKIM,1949,9.6,25.5,14.1,281.8,351.9,660.9,645.1,586.3,395.8,311.4,0.1,5.1,3287.7
SUB HIMALAYAN WEST BENGAL & SIKKIM,1950,0.3,19.6,27.9,48.4,210.4,747.5,570.9,639.9,366.2,131,0.2,0.3,2762.5
SUB HIMALAYAN WEST BENGAL & SIKKIM,1951,1,0.5,22.7,69.3,239.8,546.5,778.3,503.7,326.1,158,37.3,0,2683.1
SUB HIMALAYAN WEST BENGAL & SIKKIM,1952,1.3,22.2,80.8,168.2,420.8,580.6,713,522.9,587.9,148.8,20.7,3.7,3270.7
SUB HIMALAYAN WEST BENGAL & SIKKIM,1953,28.2,10.7,88.1,64.5,253.2,427.7,755.2,315.5,540.7,105.7,0.4,4.1,2594
SUB HIMALAYAN WEST BENGAL & SIKKIM,1954,15.7,10.2,10,71.1,308.9,841.5,961.5,496.2,250.8,85.6,0.7,3.5,3055.6
SUB HIMALAYAN WEST BENGAL & SIKKIM,1955,4.6,2.8,34.6,71.5,220.5,541,1064.6,626.2,365,51.3,6.1,4.6,2992.9
SUB HIMALAYAN WEST BENGAL & SIKKIM,1956,14.8,1.4,42.6,164.9,420.9,747.9,471.4,486.8,285.2,215.8,30.1,3.6,2885.5
SUB HIMALAYAN WEST BENGAL & SIKKIM,1957,103,8.9,25.5,10.6,167.7,430.2,650.6,535.4,208.4,73.7,7.7,3.8,2225.5
SUB HIMALAYAN WEST BENGAL & SIKKIM,1958,8.1,17.5,14.8,120.6,269.4,487.8,500.3,898.1,353.2,145.6,1.8,3,2820.3
SUB HIMALAYAN WEST BENGAL & SIKKIM,1959,99.8,5.7,64.3,111.6,218.7,565.9,538.6,291.7,337.9,345,0.9,0.1,2580.1
SUB HIMALAYAN WEST BENGAL & SIKKIM,1960,0.1,6.5,52,4.8,293.2,407.2,764.5,387.2,623,71.9,0,0,2610.5
SUB HIMALAYAN WEST BENGAL & SIKKIM,1961,11.5,38.9,19.6,39.3,279.2,448.3,448.9,542,341.5,127.5,2.1,5.4,2304.2
SUB HIMALAYAN WEST BENGAL & SIKKIM,1962,33,21.7,14.4,57.2,318.7,537.1,516.6,663.2,279.5,77.4,0.4,2.6,2521.7
SUB HIMALAYAN WEST BENGAL & SIKKIM,1963,2.1,0.7,32.2,103.9,323.6,409.4,676.1,611.9,267.7,152.5,21.7,3,2604.7
SUB HIMALAYAN WEST BENGAL & SIKKIM,1964,0,1.2,9.4,127,184.7,613.2,959.1,445.6,486.8,151,3.4,0.1,2981.4
SUB HIMALAYAN WEST BENGAL & SIKKIM,1965,0.2,22,48.2,69.5,232.4,444.6,697.6,830.2,345.7,39.5,32.7,0.2,2762.7
SUB HIMALAYAN WEST BENGAL & SIKKIM,1966,29.5,7.6,3,51.5,231.7,287.5,741.5,682.8,357.3,100.9,18.3,3.8,2515.3
SUB HIMALAYAN WEST BENGAL & SIKKIM,1967,2.3,0.1,98.8,85.3,213.7,727.5,901.6,274.1,409.4,128.7,7.9,11.1,2860.5
SUB HIMALAYAN WEST BENGAL & SIKKIM,1968,26.3,4.7,34.3,90.8,237.3,646.7,827.6,594.2,514.8,314.3,87.3,0.5,3378.8
SUB HIMALAYAN WEST BENGAL & SIKKIM,1969,11.5,2.8,45.1,77.5,273.3,504.8,550.5,448.2,431.2,45.8,34.1,0,2424.9
SUB HIMALAYAN WEST BENGAL & SIKKIM,1970,18,13.4,7.6,162.5,162.7,556.6,731.2,425.4,560.8,60.7,3.3,0,2702.3
SUB HIMALAYAN WEST BENGAL & SIKKIM,1971,28.4,21.3,63,239.8,244.5,757.6,599.5,542,375.4,328.7,24.8,1.9,3226.8
SUB HIMALAYAN WEST BENGAL & SIKKIM,1972,9.4,41.6,52.1,134.3,287.5,457.2,590.3,335.1,407.1,86.8,12.3,0.9,2414.6
SUB HIMALAYAN WEST BENGAL & SIKKIM,1973,13.8,35.9,40.8,82.9,324.3,679.8,426.5,424.7,474.1,281.3,16.6,3.9,2804.6
SUB HIMALAYAN WEST BENGAL & SIKKIM,1974,19.1,2.5,94.4,210.8,339,508.1,826.8,673.7,480.8,175,3,8.3,3341.6
SUB HIMALAYAN WEST BENGAL & SIKKIM,1975,20.4,29.9,15.6,83.7,251.1,493.2,808.2,263.8,515.7,174.6,1,6.6,2663.6
SUB HIMALAYAN WEST BENGAL & SIKKIM,1976,8.8,51,27.3,112.8,303.5,649.2,531.9,671.7,288,113.1,35.5,1.2,2793.9
SUB HIMALAYAN WEST BENGAL & SIKKIM,1977,6.6,16,67.6,245.6,308.1,466,502.9,627.8,316,263.7,60.8,25.3,2906.5
SUB HIMALAYAN WEST BENGAL & SIKKIM,1978,14.7,17.9,49.3,136.7,313.3,515.5,545.2,274,376.5,62.9,61.1,10.8,2377.8
SUB HIMALAYAN WEST BENGAL & SIKKIM,1979,8.1,26.8,15.1,100.6,142,261.7,741.7,432.4,427,286.5,31.7,38.1,2511.7
SUB HIMALAYAN WEST BENGAL & SIKKIM,1980,11.6,44.8,77.3,130.4,300.1,485.9,774.4,692.5,477.5,151.2,0.9,2,3148.6
SUB HIMALAYAN WEST BENGAL & SIKKIM,1981,48.8,23,77.8,185.6,273.7,468.6,833.1,540.9,453.2,38.1,9.2,17.3,2969.3
SUB HIMALAYAN WEST BENGAL & SIKKIM,1982,0.2,9.9,47,125.6,174.5,499,749.5,305.5,341.6,54.1,20,10.6,2337.7
SUB HIMALAYAN WEST BENGAL & SIKKIM,1983,26.7,56.9,35.3,87.7,335.3,557.9,758.4,295.6,535.8,125.1,3.2,20.8,2838.8
SUB HIMALAYAN WEST BENGAL & SIKKIM,1984,29.3,11.3,42.6,127.3,360.1,474.6,737.2,364.8,405.5,179.1,5.1,11.5,2748.4
SUB HIMALAYAN WEST BENGAL & SIKKIM,1985,2.2,30.5,43.2,69.5,358.6,532.7,907.4,372.7,464.5,211.9,17.4,27.3,3037.9
SUB HIMALAYAN WEST BENGAL & SIKKIM,1986,1.3,5.8,7.9,122.4,152.1,436.4,545.4,363.2,493.9,215.1,15.5,6.4,2365.4
SUB HIMALAYAN WEST BENGAL & SIKKIM,1987,2.8,35.3,79.8,152.7,148,451,791.9,836.6,530.3,150.3,5.6,1.2,3185.5
SUB HIMALAYAN WEST BENGAL & SIKKIM,1988,6.8,24.6,71.2,96.5,268.8,304.9,831.7,990.5,446.6,76,18.4,5.5,3141.4
SUB HIMALAYAN WEST BENGAL & SIKKIM,1989,21,41.6,45.8,58.1,358.4,551.3,629.8,407.8,593.6,98.9,30.7,17.6,2854.6
SUB HIMALAYAN WEST BENGAL & SIKKIM,1990,3.8,109.9,80.1,158.3,358.2,554.7,814.1,916.6,440.6,115,0.4,13.7,3565.3
SUB HIMALAYAN WEST BENGAL & SIKKIM,1991,41.5,24.2,45.8,102.7,283.7,691.4,592.6,500.9,689.5,67.8,1.7,30.4,3072.4
SUB HIMALAYAN WEST BENGAL & SIKKIM,1992,10,46.7,26,84,253.4,328.1,736.3,458,276.4,125.5,5,9.5,2358.8
SUB HIMALAYAN WEST BENGAL & SIKKIM,1993,37.6,35.2,58.8,136.9,320.5,449.6,723.9,521.6,352.2,228.8,28.4,2.4,2895.9
SUB HIMALAYAN WEST BENGAL & SIKKIM,1994,49.6,55,114.1,126.6,243.3,388,357.3,396.1,302.1,84.3,8.5,2.2,2127.3
SUB HIMALAYAN WEST BENGAL & SIKKIM,1995,17.9,41.1,50.6,84.2,349.6,859,775.3,539.2,638.5,99.7,88.6,14,3557.8
SUB HIMALAYAN WEST BENGAL & SIKKIM,1996,30.9,34.2,59.5,85,401.7,334.6,863.6,545.1,337.9,107.3,0.4,0,2800.3
SUB HIMALAYAN WEST BENGAL & SIKKIM,1997,18.9,31.3,76.4,119.5,166.9,613.3,488.1,479,443.9,41.3,16.3,56.5,2551.4
SUB HIMALAYAN WEST BENGAL & SIKKIM,1998,13.6,37,125.1,154.1,254.2,653,854.6,860.4,478.9,209.1,13.1,2.1,3655.1
SUB HIMALAYAN WEST BENGAL & SIKKIM,1999,8.7,6.2,17.9,156,335.4,550.5,831.7,751.6,404.1,246,10.7,4.5,3323.3
SUB HIMALAYAN WEST BENGAL & SIKKIM,2000,10.7,36.2,55.1,185.1,326.5,649.6,574.3,498.1,465.8,82.9,22.6,1.2,2908
SUB HIMALAYAN WEST BENGAL & SIKKIM,2001,4,20.5,50.2,134.8,347.2,472.2,399,424.5,434.9,282.8,36.6,5.9,2612.6
SUB HIMALAYAN WEST BENGAL & SIKKIM,2002,30.1,10,95.6,237.1,181.7,407.2,743.3,406.6,340.1,75.7,8.7,10.8,2547
SUB HIMALAYAN WEST BENGAL & SIKKIM,2003,17,79.2,90.1,171.4,211.7,516.6,703,354,321.4,223,16.4,19.2,2723.3
SUB HIMALAYAN WEST BENGAL & SIKKIM,2004,19.9,11.5,40.5,163.5,287.5,489.5,739.5,356.4,394.7,198.4,9,4.4,2714.7
SUB HIMALAYAN WEST BENGAL & SIKKIM,2005,19.5,21,132.1,155.5,254,446.5,704.3,564.5,229.9,271.1,8.8,0.5,2807.7
SUB HIMALAYAN WEST BENGAL & SIKKIM,2006,0.7,17,39.8,119.3,270.5,446.2,470.2,295,456.8,118.4,20.3,7.9,2262.1
SUB HIMALAYAN WEST BENGAL & SIKKIM,2007,3.1,81.1,46.6,160.1,215.1,485.1,686.3,412.4,458.6,79.5,8.8,2,2638.9
SUB HIMALAYAN WEST BENGAL & SIKKIM,2008,33.2,22.1,79.8,141.8,171.4,526.5,657.7,636.3,296.7,97.9,16.9,9.5,2689.9
SUB HIMALAYAN WEST BENGAL & SIKKIM,2009,6,40.3,55,115.2,308.7,350.6,456.1,568.4,174.6,235.1,9.1,5.6,2324.6
SUB HIMALAYAN WEST BENGAL & SIKKIM,2010,5.6,19.6,77.6,176.6,335.9,558.1,593.4,461.3,308.1,66.2,7.9,2.2,2612.3
SUB HIMALAYAN WEST BENGAL & SIKKIM,2011,8.5,19.9,71.2,135,247.8,419.8,612.3,470.3,356.3,46.7,26.7,4.3,2418.7
SUB HIMALAYAN WEST BENGAL & SIKKIM,2012,15.3,13.9,45.5,159.8,202.4,604.2,684.5,332.7,434.7,119.4,12.5,7.4,2632.2
SUB HIMALAYAN WEST BENGAL & SIKKIM,2013,3,23.6,32.1,114.7,296.5,404.9,588.4,416.3,308,199.8,16.1,2.7,2406.1
SUB HIMALAYAN WEST BENGAL & SIKKIM,2014,0.2,26.6,37.7,47.9,308.6,543.2,384.6,563.3,371.5,31.2,5.3,2.4,2322.6
SUB HIMALAYAN WEST BENGAL & SIKKIM,2015,15.7,15,64.8,149,304.6,508.2,393.3,626.6,354.9,53.6,23.8,9,2518.6
